number of rooms,number of bathrooms,area,floor,age,Price
3,3,170.0,First Floor,0 - 1,87000
3,3,170.0,Ground Floor,0 - 1,88000
3,3,170.0,Second Floor,0 - 1,88000
3,3,170.0,First Floor,0 - 1,88000
3,3,170.0,Third Floor,1 - 5,89000
3,3,170.0,Ground Floor,0 - 1,90000
3,3,170.0,First Floor,6 - 9,90000
3,3,170.0,Ground Floor,0 - 1,93000
3,3,170.0,Ground Floor,0 - 1,95000
3,3,170.0,Ground Floor,0 - 1,95000
3,3,170.0,Ground Floor,0 - 1,95000
3,3,170.0,Second Floor,0 - 1,95000
3,3,170.0,Second Floor,0 - 1,95000
3,3,170.0,Ground Floor,0 - 1,95000
3,3,170.0,Ground Floor,0 - 1,95000
3,3,170.0,Second Floor,1 - 5,97000
3,3,170.0,Second Floor,1 - 5,97000
3,3,171.0,Ground Floor,6 - 9,75000
3,3,171.0,Second Floor,10 - 19,100000
3,3,171.0,Ground Floor,6 - 9,75000
3,3,171.0,Ground Floor,6 - 9,75000
3,3,171.0,Ground Floor,6 - 9,75000
3,3,172.0,First Floor,1 - 5,74000
3,3,172.0,Ground Floor,0 - 1,76000
3,3,172.0,Ground Floor,0 - 1,80000
3,3,172.0,Basement,0 - 1,80000
3,3,173.0,Second Floor,20 - 40,100000
3,3,173.0,Third Floor,0 - 1,85000
3,3,173.0,Basement,10 - 19,81000
3,2,173.0,Ground Floor,10 - 19,60000
3,3,173.0,Second Floor,10 - 19,73000
5,3,173.0,Second Floor,0 - 1,85000
5,3,173.0,First Floor,0 - 1,87000
3,3,173.0,Semi-Ground Floor,0 - 1,88000
3,3,174.0,Ground Floor,0 - 1,108000
3,3,174.0,Second Floor,0 - 1,87000
3,3,174.0,Second Floor,0 - 1,87000
3,3,174.0,Ground Floor,0 - 1,95000
3,3,174.0,Ground Floor,0 - 1,95000
3,3,175.0,First Floor,10 - 19,84500
3,3,175.0,Basement,0 - 1,96000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Second Floor,0 - 1,81000
3,3,175.0,Second Floor,0 - 1,81000
3,3,175.0,Third Floor,0 - 1,97000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Second Floor,0 - 1,81000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Second Floor,0 - 1,81000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Ground Floor,0 - 1,100000
3,3,175.0,Fourth Floor,10 - 19,70000
3,3,175.0,Ground Floor,6 - 9,75000
3,3,175.0,First Floor,0 - 1,100000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Ground Floor,6 - 9,100000
3,3,175.0,Ground Floor,0 - 1,105000
3,3,175.0,Ground Floor,0 - 1,105000
3,3,175.0,Ground Floor,0 - 1,105000
3,3,175.0,Third Floor,6 - 9,105000
3,3,175.0,Ground Floor,0 - 1,108000
3,3,175.0,Ground Floor,0 - 1,109000
3,3,175.0,Ground Floor,0 - 1,110000
3,3,175.0,Ground Floor,0 - 1,110000
3,3,175.0,Ground Floor,0 - 1,110000
3,3,175.0,Second Floor,0 - 1,115000
3,3,175.0,Ground Floor,0 - 1,115000
3,3,175.0,First Floor,0 - 1,115000
3,3,175.0,Ground Floor,0 - 1,118000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Third Floor,0 - 1,120000
3,3,175.0,Ground Floor,6 - 9,120000
3,3,175.0,Ground Floor,0 - 1,125000
3,3,175.0,Ground Floor,10 - 19,75000
3,3,175.0,First Floor,10 - 19,70000
3,3,175.0,Basement,6 - 9,78000
3,3,175.0,Second Floor,0 - 1,92000
3,3,175.0,First Floor,0 - 1,100000
3,3,175.0,Third Floor,10 - 19,75000
3,3,175.0,First Floor,6 - 9,80000
3,3,175.0,Third Floor,1 - 5,83000
3,3,175.0,Third Floor,0 - 1,85000
3,3,175.0,Third Floor,0 - 1,85000
3,3,175.0,Second Floor,0 - 1,85000
3,3,175.0,Second Floor,0 - 1,85000
3,3,175.0,First Floor,0 - 1,86000
3,3,175.0,First Floor,0 - 1,88000
3,3,175.0,Semi-Ground Floor,0 - 1,88000
3,3,175.0,Second Floor,0 - 1,90000
3,3,175.0,First Floor,0 - 1,90000
3,3,175.0,First Floor,0 - 1,90000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Ground Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,Second Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,First Floor,0 - 1,95000
3,3,175.0,Ground Floor,0 - 1,96000
3,3,175.0,Second Floor,1 - 5,90000
3,3,176.0,Ground Floor,6 - 9,70000
3,3,176.0,Third Floor,0 - 1,85000
3,3,177.0,Second Floor,10 - 19,85000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,100000
3,3,177.0,Ground Floor,0 - 1,105000
3,3,177.0,Basement,0 - 1,114000
3,3,177.0,Third Floor,10 - 19,83000
3,3,177.0,Third Floor,10 - 19,78000
3,3,177.0,Ground Floor,0 - 1,125000
3,3,177.0,First Floor,0 - 1,80000
3,3,177.0,Third Floor,10 - 19,84000
3,3,177.0,Third Floor,0 - 1,88000
3,3,178.0,Ground Floor,0 - 1,109000
2,2,178.0,Ground Floor,1 - 5,125000
3,3,178.0,Second Floor,10 - 19,69000
3,3,178.0,Third Floor,1 - 5,95000
3,3,178.0,First Floor,1 - 5,95000
3,3,179.0,Third Floor,6 - 9,99000
3,3,180.0,Third Floor,10 - 19,68000
3,3,180.0,First Floor,0 - 1,88000
4,4,180.0,Ground Floor,0 - 1,105000
3,3,180.0,Third Floor,0 - 1,97000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Second Floor,0 - 1,81000
3,3,180.0,First Floor,0 - 1,88000
3,4,180.0,First Floor,0 - 1,131000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
4,4,180.0,Third Floor,0 - 1,120000
4,4,180.0,Third Floor,0 - 1,120000
4,4,180.0,Third Floor,0 - 1,120000
4,4,180.0,Third Floor,0 - 1,120000
4,4,180.0,Third Floor,0 - 1,120000
4,4,180.0,Third Floor,0 - 1,120000
3,3,180.0,Second Floor,0 - 1,81000
3,3,180.0,Third Floor,0 - 1,97000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,First Floor,0 - 1,88000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Basement,0 - 1,96000
3,3,180.0,Third Floor,0 - 1,97000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,4,180.0,First Floor,0 - 1,131000
3,4,180.0,First Floor,0 - 1,131000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,100000
3,3,180.0,Second Floor,6 - 9,72000
3,4,180.0,Third Floor,0 - 1,95000
4,4,180.0,Basement,1 - 5,107000
4,4,180.0,Basement,1 - 5,107000
3,4,180.0,First Floor,1 - 5,87000
3,4,180.0,First Floor,1 - 5,87000
4,4,180.0,Third Floor,0 - 1,120000
2,3,180.0,Ground Floor,0 - 1,80000
3,3,180.0,First Floor,0 - 1,100000
4,3,180.0,Third Floor,1 - 5,100000
3,3,180.0,First Floor,0 - 1,100000
3,3,180.0,Ground Floor,0 - 1,108000
5,3,180.0,First Floor,0 - 1,104000
3,3,180.0,First Floor,0 - 1,88000
3,3,180.0,Ground Floor,0 - 1,105000
3,3,180.0,Basement,1 - 5,107000
3,3,180.0,Ground Floor,0 - 1,109000
3,3,180.0,Ground Floor,0 - 1,110000
3,3,180.0,Basement,1 - 5,110000
3,3,180.0,Basement,0 - 1,110000
5,3,180.0,Ground Floor,0 - 1,110000
3,3,180.0,Second Floor,0 - 1,111000
3,3,180.0,First Floor,0 - 1,111000
3,3,180.0,Basement,0 - 1,114000
3,3,180.0,Ground Floor,0 - 1,115000
5,3,180.0,Ground Floor,0 - 1,115000
3,3,180.0,Ground Floor,0 - 1,116000
3,3,180.0,Ground Floor,0 - 1,119000
3,3,180.0,Third Floor,0 - 1,120000
3,3,180.0,Basement,0 - 1,79000
3,3,180.0,Ground Floor,6 - 9,120000
3,3,180.0,Ground Floor,0 - 1,120000
3,3,180.0,Second Floor,0 - 1,81000
3,3,180.0,Third Floor,0 - 1,125000
3,3,180.0,Third Floor,0 - 1,125000
3,3,180.0,First Floor,0 - 1,135000
3,3,180.0,Ground Floor,0 - 1,136000
4,3,180.0,Third Floor,1 - 5,138000
4,3,180.0,Third Floor,1 - 5,138000
3,3,180.0,Ground Floor,6 - 9,72000
2,3,180.0,Third Floor,6 - 9,78000
3,3,180.0,Second Floor,1 - 5,81500
3,3,180.0,Ground Floor,10 - 19,79000
3,3,180.0,Ground Floor,10 - 19,68000
3,4,180.0,First Floor,0 - 1,90000
1,1,180.0,Basement,6 - 9,70000
3,3,180.0,Ground Floor,6 - 9,72000
3,3,180.0,Third Floor,10 - 19,75000
3,3,180.0,Third Floor,10 - 19,79000
3,3,180.0,Basement,0 - 1,79000
3,3,180.0,Second Floor,10 - 19,80000
3,3,180.0,Basement,0 - 1,84000
3,3,180.0,Ground Floor,0 - 1,85000
3,3,180.0,Basement,0 - 1,85000
5,3,180.0,Basement,0 - 1,85000
3,4,180.0,First Floor,1 - 5,87000
3,3,180.0,Ground Floor,1 - 5,88000
3,3,180.0,First Floor,0 - 1,88000
3,3,180.0,Second Floor,0 - 1,88000
3,3,180.0,First Floor,0 - 1,88000
3,3,180.0,Basement,1 - 5,88000
4,4,180.0,First Floor,6 - 9,90000
3,3,180.0,First Floor,0 - 1,89000
3,3,180.0,First Floor,0 - 1,89000
3,3,180.0,Second Floor,0 - 1,89000
3,3,180.0,First Floor,0 - 1,89000
4,2,180.0,Second Floor,1 - 5,90000
4,4,180.0,First Floor,0 - 1,90000
3,3,180.0,Ground Floor,0 - 1,90000
3,3,180.0,Second Floor,0 - 1,94000
3,3,180.0,Basement,1 - 5,95000
3,3,180.0,First Floor,0 - 1,95000
3,3,180.0,Second Floor,0 - 1,95000
5,3,180.0,Basement,0 - 1,95000
3,3,180.0,First Floor,0 - 1,95000
3,3,180.0,Fourth Floor,1 - 5,97000
3,3,180.0,First Floor,0 - 1,88000
3,3,180.0,Basement,0 - 1,98000
4,3,181.0,Basement,10 - 19,65000
3,2,181.0,Ground Floor,6 - 9,87000
3,1,181.0,Ground Floor,6 - 9,90000
3,3,182.0,Basement,0 - 1,96000
3,3,182.0,Basement,0 - 1,96000
3,3,182.0,Ground Floor,0 - 1,100000
3,3,182.0,Basement,0 - 1,96000
3,3,182.0,Second Floor,1 - 5,113000
3,3,182.0,Third Floor,0 - 1,89000
3,3,182.0,Third Floor,0 - 1,89000
3,3,183.0,Ground Floor,0 - 1,130000
3,3,183.0,Ground Floor,20 - 40,95000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,0 - 1,100000
3,3,184.0,Ground Floor,10 - 19,88000
3,3,184.0,Ground Floor,10 - 19,88000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,3,185.0,Ground Floor,0 - 1,100000
3,4,185.0,First Floor,0 - 1,131000
3,4,185.0,First Floor,0 - 1,131000
4,4,185.0,First Floor,0 - 1,136000
4,3,185.0,First Floor,0 - 1,81500
3,3,185.0,Second Floor,0 - 1,81000
3,3,185.0,First Floor,0 - 1,88000
4,3,185.0,Third Floor,0 - 1,108000
4,3,185.0,First Floor,0 - 1,81500
4,3,185.0,First Floor,0 - 1,81500
4,3,185.0,First Floor,0 - 1,81500
3,2,185.0,Ground Floor,10 - 19,105000
3,3,185.0,Third Floor,0 - 1,110000
3,3,185.0,Ground Floor,0 - 1,110000
3,3,185.0,Ground Floor,0 - 1,110000
3,3,185.0,Ground Floor,0 - 1,110000
3,3,185.0,Ground Floor,0 - 1,110000
3,3,185.0,Ground Floor,0 - 1,110000
3,3,185.0,Third Floor,0 - 1,120000
3,3,185.0,Third Floor,0 - 1,120000
3,3,185.0,Third Floor,0 - 1,120000
3,3,185.0,Third Floor,0 - 1,120000
4,4,185.0,Third Floor,0 - 1,120000
4,3,185.0,Third Floor,0 - 1,120000
4,4,185.0,Third Floor,0 - 1,120000
4,4,185.0,Third Floor,0 - 1,120000
4,3,185.0,Third Floor,0 - 1,120000
4,4,185.0,Third Floor,0 - 1,120000
3,3,185.0,Ground Floor,0 - 1,145000
3,3,185.0,Ground Floor,0 - 1,145000
3,3,185.0,Ground Floor,6 - 9,100000
3,4,185.0,Basement,0 - 1,83000
4,4,185.0,First Floor,0 - 1,85000
4,3,185.0,Second Floor,0 - 1,90000
3,3,185.0,Second Floor,6 - 9,92000
3,2,185.0,Second Floor,6 - 9,93000
3,3,185.0,Second Floor,6 - 9,95000
4,4,185.0,Second Floor,0 - 1,98000
4,3,185.0,Second Floor,0 - 1,98000
4,3,185.0,First Floor,0 - 1,98000
4,4,185.0,Second Floor,0 - 1,99000
4,4,185.0,Second Floor,0 - 1,99000
3,3,185.0,Ground Floor,0 - 1,99000
3,3,186.0,Third Floor,10 - 19,75000
3,3,186.0,Third Floor,10 - 19,75000
3,3,186.0,Second Floor,10 - 19,73000
3,3,186.0,Ground Floor,10 - 19,95000
3,3,187.0,Third Floor,0 - 1,97000
3,3,187.0,First Floor,0 - 1,88000
3,3,187.0,First Floor,0 - 1,88000
3,3,187.0,Third Floor,0 - 1,97000
3,3,188.0,Third Floor,6 - 9,85000
3,3,189.0,Basement,6 - 9,110000
3,3,189.0,First Floor,10 - 19,80000
3,3,189.0,Ground Floor,20 - 40,95000
1,5,189.0,First Floor,6 - 9,100000
3,3,189.0,Basement,6 - 9,110000
3,3,189.0,Ground Floor,0 - 1,122000
3,3,190.0,First Floor,0 - 1,88000
3,3,190.0,Ground Floor,10 - 19,75000
3,3,190.0,Basement,0 - 1,100000
3,4,190.0,First Floor,1 - 5,100000
1,5,190.0,First Floor,6 - 9,100000
3,3,190.0,First Floor,0 - 1,88000
3,3,190.0,Second Floor,0 - 1,105000
3,3,190.0,Second Floor,0 - 1,110000
3,3,190.0,First Floor,0 - 1,110000
3,3,190.0,Second Floor,6 - 9,110000
3,3,190.0,Basement,0 - 1,115000
3,3,190.0,Ground Floor,0 - 1,124000
3,3,190.0,First Floor,0 - 1,125000
3,3,190.0,Ground Floor,0 - 1,125000
3,3,190.0,Ground Floor,0 - 1,128000
3,3,190.0,Ground Floor,0 - 1,138000
3,3,190.0,Ground Floor,0 - 1,98000
3,3,190.0,Basement,1 - 5,70000
3,3,190.0,Third Floor,1 - 5,70000
3,3,190.0,First Floor,1 - 5,85000
3,3,190.0,First Floor,0 - 1,89000
3,3,190.0,First Floor,0 - 1,92000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Third Floor,0 - 1,95000
3,3,190.0,Ground Floor,1 - 5,95000
3,3,190.0,Ground Floor,1 - 5,97000
3,3,190.0,Second Floor,0 - 1,98000
3,3,191.0,Basement,0 - 1,90000
3,3,191.0,Basement,6 - 9,80000
4,4,192.0,First Floor,0 - 1,136000
4,4,192.0,First Floor,0 - 1,136000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Third Floor,6 - 9,95000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Basement,0 - 1,96000
3,3,192.0,Semi-Ground Floor,0 - 1,88000
3,3,192.0,Semi-Ground Floor,0 - 1,88000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Ground Floor,0 - 1,100000
3,3,192.0,Third Floor,0 - 1,97000
3,3,193.0,Basement,10 - 19,78000
3,3,193.0,Third Floor,6 - 9,83000
3,3,193.0,First Floor,0 - 1,88000
3,3,194.0,Second Floor,1 - 5,125000
3,3,195.0,Ground Floor,0 - 1,100000
3,2,195.0,Ground Floor,0 - 1,110000
3,3,195.0,First Floor,0 - 1,110000
3,3,195.0,Third Floor,0 - 1,115000
3,3,195.0,Second Floor,1 - 5,110000
3,3,195.0,Third Floor,0 - 1,95000
3,3,195.0,Third Floor,0 - 1,95000
4,4,195.0,Third Floor,0 - 1,99000
3,3,196.0,First Floor,10 - 19,105000
3,3,197.0,Third Floor,0 - 1,97000
3,3,197.0,Second Floor,0 - 1,81000
3,3,197.0,Second Floor,1 - 5,127000
3,3,197.0,Third Floor,0 - 1,97000
3,3,198.0,First Floor,0 - 1,90000
3,3,198.0,First Floor,0 - 1,90000
3,3,198.0,Basement,1 - 5,95000
3,3,200.0,Basement,0 - 1,96000
3,4,200.0,First Floor,1 - 5,87000
3,3,200.0,First Floor,0 - 1,88000
3,3,200.0,Second Floor,6 - 9,72000
4,4,200.0,Ground Floor,1 - 5,100000
3,3,200.0,Third Floor,6 - 9,84000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
3,3,200.0,Ground Floor,0 - 1,105000
4,4,200.0,Third Floor,0 - 1,105000
5,3,200.0,Second Floor,0 - 1,105000
5,3,200.0,Second Floor,0 - 1,105000
4,4,200.0,Third Floor,0 - 1,108000
5,3,200.0,First Floor,0 - 1,108000
4,4,200.0,Ground Floor,1 - 5,109000
3,4,200.0,Ground Floor,0 - 1,109000
3,3,200.0,Ground Floor,0 - 1,110000
5,3,200.0,Basement,1 - 5,110000
5,3,200.0,First Floor,0 - 1,110000
3,4,200.0,Third Floor,0 - 1,115000
3,4,200.0,Third Floor,0 - 1,115000
3,4,200.0,Third Floor,0 - 1,115000
3,4,200.0,Third Floor,0 - 1,115000
5,3,200.0,First Floor,0 - 1,115000
3,3,200.0,Second Floor,0 - 1,118000
3,3,200.0,First Floor,0 - 1,118000
4,4,200.0,Ground Floor,0 - 1,125000
3,3,200.0,First Floor,0 - 1,125000
5,3,200.0,Ground Floor,0 - 1,125000
3,3,200.0,Ground Floor,0 - 1,127000
4,4,200.0,Third Floor,0 - 1,130000
4,4,200.0,Third Floor,0 - 1,130000
3,3,200.0,Ground Floor,1 - 5,135000
3,3,200.0,Basement,0 - 1,68000
3,3,200.0,Ground Floor,10 - 19,73000
3,3,200.0,Third Floor,6 - 9,75000
5,3,200.0,Basement,0 - 1,75000
3,3,200.0,Third Floor,6 - 9,77000
3,3,200.0,Basement,1 - 5,79000
3,4,200.0,First Floor,1 - 5,87000
3,3,200.0,Third Floor,6 - 9,84000
3,3,200.0,Third Floor,6 - 9,84000
3,3,200.0,Second Floor,10 - 19,92000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Third Floor,0 - 1,97000
3,3,200.0,Ground Floor,0 - 1,97000
3,3,200.0,Ground Floor,0 - 1,98000
4,4,200.0,Third Floor,0 - 1,99000
4,4,200.0,Ground Floor,1 - 5,99000
4,4,200.0,Ground Floor,1 - 5,99000
4,4,201.0,Ground Floor,1 - 5,109000
3,3,203.0,Ground Floor,0 - 1,135000
3,4,204.0,Second Floor,6 - 9,150000
3,3,204.0,Third Floor,0 - 1,97000
4,4,205.0,Second Floor,0 - 1,124500
3,3,205.0,Second Floor,0 - 1,81000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,Ground Floor,0 - 1,100000
3,3,205.0,Third Floor,0 - 1,97000
3,3,205.0,First Floor,1 - 5,90000
3,3,205.0,Second Floor,0 - 1,115000
3,3,205.0,Ground Floor,0 - 1,119000
3,3,205.0,Ground Floor,0 - 1,119000
4,4,205.0,Third Floor,6 - 9,120000
3,3,205.0,First Floor,0 - 1,125000
3,3,205.0,Third Floor,0 - 1,140000
2,3,205.0,Ground Floor,0 - 1,85000
3,3,205.0,First Floor,6 - 9,97000
3,3,205.0,First Floor,6 - 9,98000
3,3,205.0,First Floor,1 - 5,98000
3,3,206.0,Ground Floor,6 - 9,120000
3,3,206.0,Ground Floor,0 - 1,140000
3,3,207.0,First Floor,6 - 9,87000
3,3,208.0,First Floor,0 - 1,118000
3,3,208.0,Third Floor,1 - 5,125000
3,3,208.0,Basement,1 - 5,98000
3,3,209.0,Third Floor,0 - 1,115000
4,4,210.0,Third Floor,0 - 1,129000
3,3,210.0,First Floor,6 - 9,88000
5,3,210.0,First Floor,1 - 5,98000
3,3,210.0,Ground Floor,1 - 5,99000
3,2,210.0,First Floor,10 - 19,97000
3,3,210.0,Third Floor,1 - 5,79000
4,3,210.0,Third Floor,0 - 1,108000
3,3,210.0,Basement,0 - 1,96000
3,3,210.0,Ground Floor,1 - 5,88000
4,4,210.0,Third Floor,1 - 5,87500
3,3,210.0,First Floor,0 - 1,100000
3,3,210.0,First Floor,0 - 1,100000
3,3,210.0,Ground Floor,1 - 5,105000
2,2,210.0,Third Floor,0 - 1,110000
3,3,210.0,Ground Floor,0 - 1,110000
3,3,210.0,Third Floor,6 - 9,110000
3,3,210.0,Third Floor,0 - 1,110000
3,3,210.0,Ground Floor,1 - 5,110000
3,3,210.0,Third Floor,6 - 9,110000
3,3,210.0,First Floor,1 - 5,110000
4,4,210.0,Third Floor,0 - 1,115000
3,3,210.0,Basement,0 - 1,115000
3,3,210.0,First Floor,0 - 1,117000
4,4,210.0,Third Floor,0 - 1,120000
3,3,210.0,Basement,1 - 5,125000
3,3,210.0,Basement,0 - 1,125000
3,3,210.0,Ground Floor,1 - 5,125000
3,3,210.0,Ground Floor,0 - 1,128000
4,4,210.0,Third Floor,0 - 1,129000
3,3,210.0,Ground Floor,0 - 1,135000
3,3,210.0,Ground Floor,0 - 1,138000
3,3,210.0,Ground Floor,0 - 1,138000
3,3,210.0,Third Floor,0 - 1,150000
3,3,210.0,Third Floor,0 - 1,150000
3,3,210.0,Ground Floor,6 - 9,65000
4,4,210.0,First Floor,6 - 9,148000
3,4,210.0,Second Floor,6 - 9,68000
3,3,210.0,Third Floor,10 - 19,75000
3,3,210.0,Basement,0 - 1,85000
4,4,210.0,Third Floor,0 - 1,90000
3,3,210.0,First Floor,6 - 9,95000
3,3,210.0,First Floor,0 - 1,95000
3,3,210.0,First Floor,6 - 9,97000
3,2,210.0,First Floor,10 - 19,97000
3,3,210.0,Second Floor,10 - 19,82000
3,3,210.0,Ground Floor,1 - 5,99000
3,3,211.0,Ground Floor,1 - 5,100000
4,4,211.0,Third Floor,0 - 1,103000
4,4,211.0,First Floor,1 - 5,148000
3,3,211.0,Basement,1 - 5,97000
4,5,212.0,Third Floor,0 - 1,105000
4,4,212.0,Third Floor,0 - 1,105000
3,4,213.0,Second Floor,6 - 9,110000
3,4,213.0,First Floor,6 - 9,125000
4,3,215.0,Third Floor,0 - 1,108000
3,4,215.0,Ground Floor,1 - 5,115000
4,3,216.0,Second Floor,10 - 19,115000
4,3,216.0,Second Floor,10 - 19,115000
4,3,216.0,Second Floor,6 - 9,80000
3,3,217.0,First Floor,20 - 40,75000
3,3,218.0,Third Floor,0 - 1,128000
4,4,220.0,Third Floor,0 - 1,120000
3,3,220.0,Third Floor,0 - 1,97000
3,3,220.0,Third Floor,0 - 1,97000
3,3,220.0,Third Floor,0 - 1,97000
3,3,220.0,Third Floor,0 - 1,97000
4,4,220.0,Third Floor,0 - 1,115000
4,4,220.0,Third Floor,0 - 1,115000
4,4,220.0,Third Floor,0 - 1,115000
4,4,220.0,Third Floor,0 - 1,120000
3,3,220.0,Ground Floor,0 - 1,125000
3,3,220.0,Ground Floor,0 - 1,125000
3,3,220.0,Ground Floor,0 - 1,125000
4,3,220.0,Ground Floor,0 - 1,125000
