area_scaled,age_0_-_1,age_6_-_9,age_1_-_5,age_10_-_19,age_20_-_40,floor_numeric,total_rooms
0.25650203936249166,1.0,0.0,0.0,0.0,0.0,0.0,6.0
-0.9291320057823823,0.0,0.0,0.0,0.0,1.0,0.0,5.0
-1.4560804702912153,0.0,0.0,0.0,0.0,1.0,3.0,4.0
0.25650203936249166,1.0,0.0,0.0,0.0,0.0,0.0,6.0
-2.6153670922106476,0.0,1.0,0.0,0.0,0.0,0.0,6.0
-2.562672245759764,0.0,0.0,0.0,0.0,1.0,1.0,3.0
-2.562672245759764,0.0,1.0,0.0,0.0,0.0,1.0,2.0
-2.509977399308881,0.0,0.0,0.0,0.0,1.0,-2.0,3.0
-2.509977399308881,0.0,0.0,1.0,0.0,0.0,3.0,3.0
-2.509977399308881,0.0,0.0,1.0,0.0,0.0,3.0,3.0
-2.509977399308881,0.0,0.0,0.0,0.0,1.0,3.0,3.0
-2.4836299760834395,0.0,1.0,0.0,0.0,0.0,0.0,2.0
-2.457282552857998,0.0,1.0,0.0,0.0,0.0,-2.0,3.0
-2.457282552857998,0.0,0.0,0.0,0.0,1.0,-2.0,3.0
-2.457282552857998,0.0,1.0,0.0,0.0,0.0,-2.0,3.0
-2.2465031670544646,0.0,0.0,0.0,0.0,1.0,1.0,2.0
-2.2465031670544646,0.0,0.0,0.0,0.0,1.0,2.0,3.0
-2.220155743829023,0.0,1.0,0.0,0.0,0.0,-2.0,2.0
-2.1674608973781395,0.0,0.0,0.0,0.0,1.0,3.0,2.0
-2.141113474152698,0.0,0.0,0.0,0.0,1.0,4.0,4.0
-2.1147660509272566,0.0,0.0,1.0,0.0,0.0,3.0,3.0
-2.1147660509272566,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-2.1147660509272566,0.0,1.0,0.0,0.0,0.0,3.0,3.0
-2.1147660509272566,0.0,1.0,0.0,0.0,0.0,1.0,3.0
-2.062071204476373,0.0,0.0,0.0,0.0,1.0,1.0,3.0
-2.0357237812509315,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-2.0357237812509315,0.0,0.0,0.0,0.0,1.0,3.0,3.0
-2.0357237812509315,0.0,0.0,0.0,0.0,1.0,1.0,3.0
-2.0093763580254898,0.0,0.0,0.0,0.0,1.0,1.0,4.0
-1.9830289348000483,0.0,1.0,0.0,0.0,0.0,2.0,4.0
-1.9830289348000483,0.0,1.0,0.0,0.0,0.0,2.0,4.0
-1.9830289348000483,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.9830289348000483,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-1.9830289348000483,0.0,0.0,1.0,0.0,0.0,2.0,4.0
